"Name","Style","Good for"
"ESRI Topo","Terrain + roads + contours","Rural land, large parcels — shows Vermont mountains"
"USGS Topo","Official 7.5-min quad maps","Best for rural Vermont parcels, land appraisals"
"USGS Imagery+Topo","Satellite photo + topo labels combined","Rural land with context"
"CartoDB Voyager","Colorful road map, more detail than Light","Good all-around alternative"
"CartoDB Dark Matter","Black background, white labels","Property dots pop very clearly"
"ESRI Street Map","Google Maps-style road map","Familiar street layout"
"ESRI National Geographic","Classic atlas style","Clean, traditional, easy to read"
"ESRI Gray Canvas","Neutral gray, almost no labels","Property dots stand out best"
"Stadia Terrain","Hillshade + roads","Vermont terrain, free non-commercial"
"OpenTopoMap","Contour lines, elevation","Large rural parcels"
